
STARTING NEW DIAG
Administration Server Client version:   V9 R0.4.107
Framework version:   V9 R0.4.107
Routing Server Client version:   V9 R0.4.107
T-Server Client version:   V9 R0.4.107
T-Server version:   V9 R0.4.107
Watchdog Server Client version:   V9 R0.4.107
2017/12/29
STARTING NEW DIAG
[2017/12/29 15:36:27.746] CAFL TteSCstaEventHandler.cpp    1140 0f4c Connection Cleared Event, UCID<0431514554073912> RqC<0> , SubjectDID:528(S), ClearedCID:300120, ClearedDID:528(S), LCS:Null, Cause:Normal Clearing
[2017/12/29 15:36:27.746] CAFL ttesagnt.cpp                3488 0f4c SActiveAgent::HandlingStateUpdated. UserKey<13> UserId<109> Ext{528} Sending Media Disconnect event...
[2017/12/29 15:36:27.746] CAFL ttesrvr.cpp                 5933 0f4c Remove UCID<0431514554073912> from call table. Entries left:1. #CIDXRef:1. #DIDXRef:2
[2017/12/29 15:36:51.608] CAFL TteSCstaEventHandler.cpp    1140 0f4c Connection Cleared Event, UCID<3091514554212012> RqC<-1> , SubjectDID:534(S), ClearedCID:300124, ClearedDID:249(T), LCS:Connected, Cause:Normal Clearing
[2017/12/29 15:36:51.639] CAFL TteSCstaEventHandler.cpp    1185 0f4c Failed Event, UCID<3091514554212012> RqC<-1> , SubjectDID:534(S), FailedCID:300124, FailedDID:534(S), CalledDID:0468383252(S), LCS:Failed, Cause:Blocked
[2017/12/29 15:36:51.639] CAFL TteSCstaEventHandler.cpp    1140 0f4c Connection Cleared Event, UCID<3091514554212012> RqC<-1> , SubjectDID:534(S), ClearedCID:300124, ClearedDID:534(S), LCS:Null, Cause:Normal Clearing
[2017/12/29 15:36:51.639] CAFL ttesagnt.cpp                3488 0f4c SActiveAgent::HandlingStateUpdated. UserKey<11> UserId<107> Ext{534} Sending Media Disconnect event...
[2017/12/29 15:36:51.639] CAFL ttesrvr.cpp                 5933 0f4c Remove UCID<3091514554212012> from call table. Entries left:0. #CIDXRef:0. #DIDXRef:1
[2017/12/29 15:36:53.672] CAFL ttesrvr.cpp                 5349 0f4c New Call object with UCID: 6721514554613112 created upon receiving an event with CID: 300130
[2017/12/29 15:36:53.672] CAFL ttetcall.cpp                1102 0f4c TCall::SetBusUnitKey - UCID: 6721514554613112, BU key updated: 0|1
[2017/12/29 15:36:53.672] CAFL TteSCstaEventHandler.cpp    1120 0f4c Delivered Event, UCID<6721514554613112> RqC<-1> , CTK:0, SubjectDID:101(R), AlertingCID:300130, AlertingDID:101(R), CallingDID:0262978807(S), CalledDID:1(S), LRDID:444(S), ConsHeldDID:(N/A), CallingPartyIsANI:True, ACDDN:445, Trunk:237, TrunkGroup:-1, LCS:Alerting, Cause:CallForwardNoAnswer
[2017/12/29 15:36:53.672] CAFL ttescall.cpp               12526 0f4c DeliveredEvent, UCID: 6721514554613112, RqC: 0:, bHasBeenIVRHOLDDequeued: 0  First arrival of call into an RCG
[2017/12/29 15:36:53.672] CAFL ttetcall.cpp                 378 0f4c HandlingType and ContactType transition, UCID: 6721514554613112, New HandlingType: ProCenterExternal, New ContactType: Routed Voice.
[2017/12/29 15:36:53.672] CAFL TteSCstaEventHandler.cpp    1228 0f4c Queued Event, UCID<6721514554613112>, SubjectDID:101(R), QueuedCID:300130, QueuedDID:101(R), QueuedToDID:100(A), CallingDID:0262978807(S), CalledDID:1(S), LRDID:(N/A), LCS:Queued, Cause:NoAvailableAgents, CallsInQueue:-1, Trunk:
[2017/12/29 15:36:53.672] CAFL ttescall.cpp               11129 14d0 Divert from Queue Call Request, UCID<6721514554613112>, DivertDestination: 573, Reason: DIVERT_IVR_DISTRIBUTION
[2017/12/29 15:36:53.672] CAFL ttescall.cpp               14538 14d0 SCall::Initiate CallTransactionInfo. UCID 6721514554613112 is to move from{101} to{573}
[2017/12/29 15:36:53.750] CAFL TteSCstaEventHandler.cpp    1149 0f4c Diverted Event, UCID<6721514554613112> RqC<0> , CTK:0, SubjectDID:101(R), DivertingCID:300130, DivertingDID:101(R), DestinationDID:573(S), LCS:Null, Cause:Distributed
